,names,PCoA1,PCoA2,group,deal,type,repet
1,Early-1,0.0585904471507535,0.0702113537760089,Early ABX,normal,Early ABX,1
2,Early-10,-0.052810715237103,-0.00722630083586816,Early ABX,normal,Early ABX,10
3,Early-100,0.022319900110081,0.0238871596728608,Early ABX,normal,Early ABX,100
4,Early-101,0.0526157451944116,0.073780958051615,Early ABX,normal,Early ABX,101
5,Early-102,0.306664926423679,-0.570699946610585,Early ABX,normal,Early ABX,102
6,Early-103,-0.0282734288208362,0.00967908227292804,Early ABX,normal,Early ABX,103
7,Early-104,0.0402579599478126,0.0400765271858628,Early ABX,normal,Early ABX,104
8,Early-105,0.0379374737447749,0.0368772618359306,Early ABX,normal,Early ABX,105
9,Early-106,0.0442105533459856,0.0432259775910617,Early ABX,normal,Early ABX,106
10,Early-107,-0.518612346186778,-0.190314080647471,Early ABX,normal,Early ABX,107
11,Early-108,0.104777003937954,0.143593292362601,Early ABX,normal,Early ABX,108
12,Early-109,0.0516888961384439,0.0576994188804327,Early ABX,normal,Early ABX,109
13,Early-11,0.116815817947885,0.149775861645431,Early ABX,normal,Early ABX,11
14,Early-12,0.0483175601635102,0.0478912539024031,Early ABX,normal,Early ABX,12
15,Early-13,-0.0327803845495255,0.0132054826521086,Early ABX,normal,Early ABX,13
16,Early-14,0.0576501074676949,0.0650723339931533,Early ABX,normal,Early ABX,14
17,Early-15,0.0658358700202857,0.0850428331583183,Early ABX,normal,Early ABX,15
18,Early-16,0.11550055744185,0.137479970044227,Early ABX,normal,Early ABX,16
19,Early-17,0.0508037804071772,0.05984226125645,Early ABX,normal,Early ABX,17
20,Early-18,0.0319891086204869,0.0265908472365791,Early ABX,normal,Early ABX,18
21,Early-19,-0.209357759427315,-0.0546762640241081,Early ABX,normal,Early ABX,19
22,Early-2,0.0467520081861182,0.0548349970767552,Early ABX,normal,Early ABX,2
23,Early-20,-0.399764084702822,-0.13178138743811,Early ABX,normal,Early ABX,20
24,Early-21,0.0947718283634343,0.105887097846174,Early ABX,normal,Early ABX,21
25,Early-22,-0.478256066255369,-0.219559487403725,Early ABX,normal,Early ABX,22
26,Early-23,0.0434635748818568,0.0504940595971569,Early ABX,normal,Early ABX,23
27,Early-24,0.00189102085149031,0.0892903281127575,Early ABX,normal,Early ABX,24
28,Early-25,0.0393510422139904,0.0337943066358082,Early ABX,normal,Early ABX,25
29,Early-26,0.101218563253316,0.133736988081776,Early ABX,normal,Early ABX,26
30,Early-27,0.0515271397928278,0.0443079870713344,Early ABX,normal,Early ABX,27
31,Early-28,0.102402015697815,0.130139407437797,Early ABX,normal,Early ABX,28
32,Early-29,-0.0290480386957906,0.00123728563821474,Early ABX,normal,Early ABX,29
33,Early-3,0.0412976693728552,0.0468295392306354,Early ABX,normal,Early ABX,3
34,Early-30,0.00458768236112062,0.0191634088950213,Early ABX,normal,Early ABX,30
35,Early-31,0.0525327619162275,0.065846231842493,Early ABX,normal,Early ABX,31
36,Early-32,-0.0209704871098823,0.0145233761530114,Early ABX,normal,Early ABX,32
37,Early-33,0.130092057681137,0.171517884633617,Early ABX,normal,Early ABX,33
38,Early-34,0.039242441886408,0.033187773530758,Early ABX,normal,Early ABX,34
39,Early-35,0.059762939716966,0.0767010224960596,Early ABX,normal,Early ABX,35
40,Early-36,0.0282637277900276,0.0338232566492973,Early ABX,normal,Early ABX,36
41,Early-37,-0.515003559027282,-0.180484040539537,Early ABX,normal,Early ABX,37
42,Early-38,0.0317164561302308,0.0351521550520312,Early ABX,normal,Early ABX,38
43,Early-39,0.0785658270325994,0.100593443532182,Early ABX,normal,Early ABX,39
44,Early-4,0.0456999290267251,0.0422504422900374,Early ABX,normal,Early ABX,4
45,Early-40,0.0172820583513772,0.0199653540856108,Early ABX,normal,Early ABX,40
46,Early-41,0.0842937766195752,0.12130763704784,Early ABX,normal,Early ABX,41
47,Early-42,0.0441941845906666,0.0292554424587025,Early ABX,normal,Early ABX,42
48,Early-43,0.0905924419571772,0.121520074791604,Early ABX,normal,Early ABX,43
49,Early-44,-0.351603658484211,-0.126003172052204,Early ABX,normal,Early ABX,44
50,Early-45,0.0279777544374899,0.0264890072556618,Early ABX,normal,Early ABX,45
51,Early-46,-0.522808587595212,-0.186921012737906,Early ABX,normal,Early ABX,46
52,Early-47,0.0874215422583425,0.108321336632435,Early ABX,normal,Early ABX,47
53,Early-48,0.0163898361702107,0.0215100746179106,Early ABX,normal,Early ABX,48
54,Early-49,0.0489426609445986,0.0470082216090104,Early ABX,normal,Early ABX,49
55,Early-5,-0.436913715680674,-0.148402349298861,Early ABX,normal,Early ABX,5
56,Early-50,0.0305647429826246,0.0264107784829141,Early ABX,normal,Early ABX,50
57,Early-51,0.0292943602482851,0.0313508188619077,Early ABX,normal,Early ABX,51
58,Early-52,0.0380763522329745,0.0359389856659443,Early ABX,normal,Early ABX,52
59,Early-53,0.0226250785610737,0.0325938734605817,Early ABX,normal,Early ABX,53
60,Early-54,-0.027407607296608,0.00877624294152836,Early ABX,normal,Early ABX,54
61,Early-55,0.0498880177685345,0.0516424030557123,Early ABX,normal,Early ABX,55
62,Early-56,0.0373983174811725,0.0343298461548083,Early ABX,normal,Early ABX,56
63,Early-57,0.0415597008472846,0.0140297993311107,Early ABX,normal,Early ABX,57
64,Early-58,-0.00718468173539258,0.00162040937052177,Early ABX,normal,Early ABX,58
65,Early-59,-0.166408295928496,-0.0432613690444967,Early ABX,normal,Early ABX,59
66,Early-6,-0.469193905918181,-0.157089162872248,Early ABX,normal,Early ABX,6
67,Early-60,0.103404709901241,0.138319198802683,Early ABX,normal,Early ABX,60
68,Early-61,-0.102435313817021,0.00831225784723926,Early ABX,normal,Early ABX,61
69,Early-62,0.0317055193655895,0.0321149080493819,Early ABX,normal,Early ABX,62
70,Early-63,0.0560753741148292,0.0571688170916538,Early ABX,normal,Early ABX,63
71,Early-64,-0.391508165045919,-0.126645371771935,Early ABX,normal,Early ABX,64
72,Early-65,-0.0213006315859073,0.0150300485873755,Early ABX,normal,Early ABX,65
73,Early-66,0.310733916198275,-0.593597472110565,Early ABX,normal,Early ABX,66
74,Early-67,0.0373498555058573,0.0497163222154156,Early ABX,normal,Early ABX,67
75,Early-68,0.0809178452367281,0.0967337592930659,Early ABX,normal,Early ABX,68
76,Early-69,0.0408115548611784,0.046872749836354,Early ABX,normal,Early ABX,69
77,Early-7,-0.128900095456222,-0.0169521589268933,Early ABX,normal,Early ABX,7
78,Early-70,0.309646985556853,-0.594359931917673,Early ABX,normal,Early ABX,70
79,Early-71,-0.180904854741215,-0.048346752835788,Early ABX,normal,Early ABX,71
80,Early-72,0.0344275442495091,0.0328615266720294,Early ABX,normal,Early ABX,72
81,Early-73,0.0503834951716345,0.0503332104035374,Early ABX,normal,Early ABX,73
82,Early-74,0.0393477950678455,0.0384175156748507,Early ABX,normal,Early ABX,74
83,Early-75,0.0368024961204104,0.0356702169194374,Early ABX,normal,Early ABX,75
84,Early-76,0.0548146944228436,0.0797360502533481,Early ABX,normal,Early ABX,76
85,Early-77,0.00112439989144587,0.0176492062681799,Early ABX,normal,Early ABX,77
86,Early-78,0.0173310895592636,0.0309394387151519,Early ABX,normal,Early ABX,78
87,Early-79,0.267067196746065,-0.528225019770498,Early ABX,normal,Early ABX,79
88,Early-8,0.0376727822000427,0.0419982072714337,Early ABX,normal,Early ABX,8
89,Early-80,0.0521064559647717,0.0582196476400877,Early ABX,normal,Early ABX,80
90,Early-81,0.314017176605146,-0.59257543815752,Early ABX,normal,Early ABX,81
91,Early-82,0.0922218091102933,0.12178686480292,Early ABX,normal,Early ABX,82
92,Early-83,0.0611217774932281,0.0747473867264298,Early ABX,normal,Early ABX,83
93,Early-84,0.0391122915991916,0.0391383566149034,Early ABX,normal,Early ABX,84
94,Early-85,0.0908105276535607,0.112817967395086,Early ABX,normal,Early ABX,85
95,Early-86,0.025742347435301,0.0263350879981984,Early ABX,normal,Early ABX,86
96,Early-87,0.043925572774517,0.0439659918669286,Early ABX,normal,Early ABX,87
97,Early-88,0.296826369634867,-0.591251893601511,Early ABX,normal,Early ABX,88
98,Early-89,0.0379724570757975,0.0365240309448862,Early ABX,normal,Early ABX,89
99,Early-9,-0.292362227428941,-0.0940541926920614,Early ABX,normal,Early ABX,9
100,Early-90,0.087540643549299,0.127340736500919,Early ABX,normal,Early ABX,90
101,Early-91,0.0561608153608309,0.0634063251395608,Early ABX,normal,Early ABX,91
102,Early-92,-0.0896558663745406,-0.00509037486822527,Early ABX,normal,Early ABX,92
103,Early-93,0.315075917676713,-0.593064045894475,Early ABX,normal,Early ABX,93
104,Early-94,-0.509117099977622,-0.177232844468001,Early ABX,normal,Early ABX,94
105,Early-95,0.0471383658402513,0.0531165031161244,Early ABX,normal,Early ABX,95
106,Early-96,0.0893655176080133,0.106909839954026,Early ABX,normal,Early ABX,96
107,Early-97,0.0504241672767077,0.0586691849046075,Early ABX,normal,Early ABX,97
108,Early-98,0.035112188881766,0.032154626641959,Early ABX,normal,Early ABX,98
109,Early-99,0.00951292393095964,0.0204175897229134,Early ABX,normal,Early ABX,99
110,Late-1,0.0516075621354433,0.0672078036226466,Late ABX,normal,Late ABX,1
111,Late-10,-0.032046205985044,0.0788836373185938,Late ABX,normal,Late ABX,10
112,Late-11,0.00259230960234067,0.0911507629293537,Late ABX,normal,Late ABX,11
113,Late-12,-0.210076023238068,-0.00276987298794943,Late ABX,normal,Late ABX,12
114,Late-13,-0.00534794716399589,0.087329783060606,Late ABX,normal,Late ABX,13
115,Late-14,0.0427101823714747,0.0462204271132333,Late ABX,normal,Late ABX,14
116,Late-15,0.0357595892535047,0.0321838854292136,Late ABX,normal,Late ABX,15
117,Late-16,0.0958263508796632,0.116699283697776,Late ABX,normal,Late ABX,16
118,Late-17,0.0167235076457999,0.0310979474318021,Late ABX,normal,Late ABX,17
119,Late-18,-0.0899354991304511,-0.0300091286177798,Late ABX,normal,Late ABX,18
120,Late-19,-0.00325520624691372,0.0881801610734304,Late ABX,normal,Late ABX,19
121,Late-2,-0.0252690969089314,0.00337717099255839,Late ABX,normal,Late ABX,2
122,Late-20,0.0451839129378535,0.0566790527156964,Late ABX,normal,Late ABX,20
123,Late-21,0.10893994042499,-0.130555646103564,Late ABX,normal,Late ABX,21
124,Late-22,-0.204431158231159,-0.0517008062716488,Late ABX,normal,Late ABX,22
125,Late-23,0.044707046591652,0.0455538820272937,Late ABX,normal,Late ABX,23
126,Late-3,-0.172394032414353,-0.0536150296187223,Late ABX,normal,Late ABX,3
127,Late-4,0.044128510623622,0.0118235304835861,Late ABX,normal,Late ABX,4
128,Late-5,-0.136441486716771,-0.026626682247914,Late ABX,normal,Late ABX,5
129,Late-6,0.0438280023226763,0.0452296054310955,Late ABX,normal,Late ABX,6
130,Late-7,-0.0667867385909639,-0.0059233465616071,Late ABX,normal,Late ABX,7
131,Late-8,0.0124160947671511,0.0210433499884037,Late ABX,normal,Late ABX,8
132,Late-9,0.0861119790453978,0.104908708779307,Late ABX,normal,Late ABX,9
133,No-1,0.111036954909109,0.13702446239394,No ABX,normal,No ABX,1
134,No-2,0.0848127444757301,0.106044096580659,No ABX,normal,No ABX,2
135,No-3,0.107854834621519,0.136385829709914,No ABX,normal,No ABX,3
136,No-4,-0.0170983357767869,0.0568739317590871,No ABX,normal,No ABX,4
137,No-5,0.0236040463460106,0.0658464382581265,No ABX,normal,No ABX,5
138,No-6,-0.131600060781782,0.00253408511774484,No ABX,normal,No ABX,6
